"","grid_range","z"
"291","grid291",16.873
"292","grid292",16.862
"293","grid293",16.93
"294","grid294",16.974
"295","grid295",16.827
"296","grid296",17.079
"297","grid297",17.462
"298","grid298",16.933
"299","grid299",17.194
"300","grid300",17.303
"301","grid301",17.091
"302","grid302",17.179
"303","grid303",17.369
"304","grid304",16.515
"305","grid305",16.453
"306","grid306",16.501
"307","grid307",17.252
"308","grid308",17.029
"309","grid309",16.839
"310","grid310",17.192
"311","grid311",17.074
"312","grid312",16.302
"313","grid313",16.083
"314","grid314",14.802
"315","grid315",16.757
"316","grid316",16.385
"317","grid317",16.64
"318","grid318",16.736
"319","grid319",16.714
"320","grid320",16.604
"321","grid321",17.195
"322","grid322",16.9
"323","grid323",17.139
"324","grid324",16.921
"325","grid325",16.833
"326","grid326",16.652
"327","grid327",16.427
"328","grid328",16.471
"329","grid329",16.206
"330","grid330",14.382
"331","grid331",16.844
"332","grid332",16.939
"333","grid333",16.458
"334","grid334",16.896
"335","grid335",17.017
"336","grid336",17.243
"337","grid337",17.213
"338","grid338",16.921
"339","grid339",17.371
"340","grid340",16.977
"341","grid341",17.441
"342","grid342",16.974
"343","grid343",17.176
"344","grid344",16.43
"345","grid345",17.26
"346","grid346",17.345
"347","grid347",16.536
"348","grid348",17.369
"349","grid349",17.17
"350","grid350",17.365
"351","grid351",17.269
"352","grid352",17.115
"353","grid353",16.89
"354","grid354",16.76
"355","grid355",15.894
"356","grid356",15.864
"357","grid357",16.878
"358","grid358",16.92
"359","grid359",16.664
"360","grid360",16.668
"361","grid361",16.616
"362","grid362",16.943
"363","grid363",17.169
"364","grid364",17.241
"365","grid365",17.191
"366","grid366",17.04
"367","grid367",16.88
"368","grid368",16.756
"369","grid369",16.581
"370","grid370",16.498
"371","grid371",16.274
"372","grid372",15.413
"373","grid373",16.162
"374","grid374",16.215
"375","grid375",16.526
"376","grid376",16.877
"377","grid377",17.048
"378","grid378",17.151
"379","grid379",17.254
"380","grid380",16.971
"381","grid381",17.343
"382","grid382",17.427
"383","grid383",17.488
"384","grid384",17.322
"385","grid385",17.113
"386","grid386",17.953
"387","grid387",18.039
"388","grid388",17.561
"389","grid389",17.447
"390","grid390",17.348
"391","grid391",17.487
"392","grid392",17.423
"393","grid393",17.203
"394","grid394",16.859
"395","grid395",16.558
"396","grid396",16.669
"397","grid397",15.751
"398","grid398",16.858
"399","grid399",17.004
"400","grid400",17.045
"401","grid401",16.716
"402","grid402",16.592
"403","grid403",16.48
"404","grid404",16.924
"405","grid405",17.073
"406","grid406",17.217
"407","grid407",16.647
"408","grid408",17.076
"409","grid409",16.859
"410","grid410",16.835
"411","grid411",16.604
"412","grid412",15.447
"413","grid413",15.337
"414","grid414",15.393
"415","grid415",16.081
"416","grid416",16.13
"417","grid417",16.088
"418","grid418",16.14
"419","grid419",17.178
"420","grid420",17.203
"421","grid421",17.294
"422","grid422",17.36
"423","grid423",17.361
"424","grid424",17.451
"425","grid425",17.487
"426","grid426",17.556
"427","grid427",17.774
"428","grid428",17.702
"429","grid429",17.542
"430","grid430",17.493
"431","grid431",17.433
"432","grid432",17.315
"433","grid433",17.446
"434","grid434",17.397
"435","grid435",17.178
"436","grid436",16.595
"437","grid437",16.722
"438","grid438",16.746
"439","grid439",16.751
"440","grid440",16.897
"441","grid441",17.16
"442","grid442",17.278
"443","grid443",16.492
"444","grid444",16.952
"445","grid445",16.949
"446","grid446",16.857
"447","grid447",17.066
"448","grid448",16.445
"449","grid449",16.509
"450","grid450",16.651
"451","grid451",16.607
"452","grid452",16.772
"453","grid453",16.664
"454","grid454",15.653
"455","grid455",15.262
"456","grid456",15.888
"457","grid457",16.074
"458","grid458",16.034
"459","grid459",15.375
"460","grid460",15.295
"461","grid461",15.247
"462","grid462",17.238
"463","grid463",16.142
"464","grid464",16.805
"465","grid465",16.728
"466","grid466",17.46
"467","grid467",17.518
"468","grid468",17.312
"469","grid469",17.406
"470","grid470",17.301
"471","grid471",17.297
"472","grid472",17.436
"473","grid473",17.343
"474","grid474",17.321
"475","grid475",17.371
"476","grid476",17.267
"477","grid477",15.088
"478","grid478",16.391
"479","grid479",16.627
"480","grid480",16.766
"481","grid481",16.888
"482","grid482",17.013
"483","grid483",17.224
"484","grid484",16.98
"485","grid485",16.998
"486","grid486",16.469
"487","grid487",16.337
"488","grid488",16.389
"489","grid489",17.08
"490","grid490",17.178
"491","grid491",16.755
"492","grid492",16.695
"493","grid493",16.604
"494","grid494",16.492
"495","grid495",16.698
"496","grid496",15.278
"497","grid497",13.616
"498","grid498",15.786
"499","grid499",15.957
"500","grid500",16.039
"501","grid501",14.779
"502","grid502",15.242
"503","grid503",15.227
"504","grid504",17.255
"505","grid505",16.327
"506","grid506",15.909
"507","grid507",16.118
"508","grid508",16.173
"509","grid509",17.527
"510","grid510",17.265
"511","grid511",17.091
"512","grid512",17.227
"513","grid513",16.61
"514","grid514",16.621
"515","grid515",16.611
"516","grid516",17.242
"517","grid517",17.207
"518","grid518",17.217
"519","grid519",17.155
"520","grid520",16.161
"521","grid521",16.465
"522","grid522",16.846
"523","grid523",16.957
"524","grid524",16.736
"525","grid525",16.944
"526","grid526",17.079
"527","grid527",16.622
"528","grid528",16.895
"529","grid529",17.038
"530","grid530",16.92
"531","grid531",17.043
"532","grid532",17.093
"533","grid533",16.762
"534","grid534",16.713
"535","grid535",16.83
"536","grid536",16.171
"537","grid537",15.804
"538","grid538",15.231
"539","grid539",14.946
"540","grid540",13.927
"541","grid541",16.47
"542","grid542",15.932
"543","grid543",16.101
"544","grid544",15.063
"545","grid545",14.848
"546","grid546",13.932
"547","grid547",16.67
"548","grid548",15.843
"549","grid549",16.299
"550","grid550",16.019
"551","grid551",16.661
"552","grid552",16.803
"553","grid553",16.952
"554","grid554",16.983
"555","grid555",17.145
"556","grid556",16.985
"557","grid557",17.035
"558","grid558",17.268
"559","grid559",17.163
"560","grid560",17.104
"561","grid561",17.076
"562","grid562",16.674
"563","grid563",16.408
"564","grid564",16.876
"565","grid565",16.349
"566","grid566",16.532
"567","grid567",16.431
"568","grid568",16.845
"569","grid569",16.987
"570","grid570",16.995
"571","grid571",16.276
"572","grid572",16.376
"573","grid573",16.881
"574","grid574",16.941
"575","grid575",17.004
"576","grid576",16.68
"577","grid577",16.773
"578","grid578",16.86
"579","grid579",15.627
"580","grid580",16.276
"581","grid581",15.029
"582","grid582",16.012
"583","grid583",16.684
"584","grid584",16.011
"585","grid585",15.978
"586","grid586",16.108
"587","grid587",16.39
"588","grid588",16.466
"589","grid589",16.74
"590","grid590",16.683
"591","grid591",16.693
"592","grid592",16.607
"593","grid593",15.983
"594","grid594",16.343
"595","grid595",16.382
"596","grid596",16.859
"597","grid597",16.952
"598","grid598",16.979
"599","grid599",17.042
"600","grid600",17.059
"601","grid601",17.074
"602","grid602",16.973
"603","grid603",16.949
"604","grid604",16.939
"605","grid605",16.893
"606","grid606",16.987
"607","grid607",16.124
"608","grid608",15.782
"609","grid609",16.584
"610","grid610",16.79
"611","grid611",16.504
"612","grid612",16.603
"613","grid613",16.385
"614","grid614",17.204
"615","grid615",16.776
"616","grid616",16.426
"617","grid617",16.8
"618","grid618",16.938
"619","grid619",16.903
"620","grid620",16.718
"621","grid621",17.02
"622","grid622",16.302
"623","grid623",16.397
"624","grid624",15.859
"625","grid625",16.384
"626","grid626",16.495
