"","grid_range","z"
"1226","grid1226",17.679
"1227","grid1227",17.487
"1228","grid1228",16.625
"1229","grid1229",16.54
"1230","grid1230",16.844
"1231","grid1231",16.748
"1232","grid1232",16.414
"1233","grid1233",16.739
"1234","grid1234",14.31
"1235","grid1235",14.433
"1236","grid1236",14.07
"1237","grid1237",15.108
"1238","grid1238",16.089
"1239","grid1239",16.362
"1240","grid1240",16.924
"1241","grid1241",17.493
"1242","grid1242",17.307
"1243","grid1243",17.244
"1244","grid1244",16.683
"1245","grid1245",17.104
"1246","grid1246",17.753
"1247","grid1247",17.697
"1248","grid1248",17.54
"1249","grid1249",17.388
"1250","grid1250",17.267
"1251","grid1251",16.907
"1252","grid1252",16.951
"1253","grid1253",14.749
"1254","grid1254",16.361
"1255","grid1255",17.137
"1256","grid1256",17.395
"1257","grid1257",16.911
"1258","grid1258",17.043
"1259","grid1259",16.371
"1260","grid1260",15.938
"1261","grid1261",16.766
"1262","grid1262",17.541
"1263","grid1263",17.542
"1264","grid1264",17.605
"1265","grid1265",17.462
"1266","grid1266",18.03
"1267","grid1267",16.919
"1268","grid1268",17.877
"1269","grid1269",17.789
"1270","grid1270",16.889
"1271","grid1271",16.566
"1272","grid1272",16.935
"1273","grid1273",16.725
"1274","grid1274",15.697
"1275","grid1275",16.525
"1276","grid1276",16.705
"1277","grid1277",14.382
"1278","grid1278",14.153
"1279","grid1279",14.254
"1280","grid1280",16.553
"1281","grid1281",16.622
"1282","grid1282",16.332
"1283","grid1283",17.523
"1284","grid1284",17.22
"1285","grid1285",16.929
"1286","grid1286",16.947
"1287","grid1287",16.973
"1288","grid1288",17.124
"1289","grid1289",16.575
"1290","grid1290",17.668
"1291","grid1291",17.599
"1292","grid1292",16.882
"1293","grid1293",17.061
"1294","grid1294",16.885
"1295","grid1295",14.77
"1296","grid1296",17.014
"1297","grid1297",17.191
"1298","grid1298",16.825
"1299","grid1299",17.474
"1300","grid1300",17.234
"1301","grid1301",16.524
"1302","grid1302",15.996
"1303","grid1303",17.092
"1304","grid1304",17.539
"1305","grid1305",17.578
"1306","grid1306",17.653
"1307","grid1307",17.629
"1308","grid1308",17.831
"1309","grid1309",18.12
"1310","grid1310",18.065
"1311","grid1311",17.979
"1312","grid1312",17.496
"1313","grid1313",17.243
"1314","grid1314",16.842
"1315","grid1315",16.757
"1316","grid1316",16.557
"1317","grid1317",16.706
"1318","grid1318",16.653
"1319","grid1319",14.431
"1320","grid1320",14.363
"1321","grid1321",16.401
"1322","grid1322",16.421
"1323","grid1323",16.767
"1324","grid1324",16.929
"1325","grid1325",16.899
"1326","grid1326",17.09
"1327","grid1327",16.851
"1328","grid1328",16.556
"1329","grid1329",16.991
"1330","grid1330",16.776
"1331","grid1331",17.049
"1332","grid1332",16.844
"1333","grid1333",17.692
"1334","grid1334",17.586
"1335","grid1335",16.885
"1336","grid1336",16.989
"1337","grid1337",16.944
"1338","grid1338",17.211
"1339","grid1339",17.308
"1340","grid1340",17.265
"1341","grid1341",17.592
"1342","grid1342",17.006
"1343","grid1343",17.001
"1344","grid1344",16.817
"1345","grid1345",16.853
"1346","grid1346",16.983
"1347","grid1347",17.655
"1348","grid1348",17.673
"1349","grid1349",17.769
"1350","grid1350",17.891
"1351","grid1351",16.618
"1352","grid1352",17.198
"1353","grid1353",17.248
"1354","grid1354",17.109
"1355","grid1355",17.049
"1356","grid1356",16.394
"1357","grid1357",15.675
"1358","grid1358",16.393
"1359","grid1359",16.681
"1360","grid1360",16.784
"1361","grid1361",13.828
"1362","grid1362",14.599
"1363","grid1363",16.058
"1364","grid1364",16.268
"1365","grid1365",16.375
"1366","grid1366",15.906
"1367","grid1367",16.429
"1368","grid1368",16.302
"1369","grid1369",16.719
"1370","grid1370",16.738
"1371","grid1371",16.576
"1372","grid1372",17.091
"1373","grid1373",17.417
"1374","grid1374",16.964
"1375","grid1375",16.886
"1376","grid1376",17.184
"1377","grid1377",17.05
"1378","grid1378",15.307
"1379","grid1379",16.975
"1380","grid1380",17.185
"1381","grid1381",16.933
"1382","grid1382",17.085
"1383","grid1383",16.677
"1384","grid1384",16.809
"1385","grid1385",16.686
"1386","grid1386",16.447
"1387","grid1387",16.698
"1388","grid1388",17.648
"1389","grid1389",17.907
"1390","grid1390",17.325
"1391","grid1391",16.645
"1392","grid1392",17.786
"1393","grid1393",17.839
"1394","grid1394",17.233
"1395","grid1395",16.922
"1396","grid1396",16.823
"1397","grid1397",16.427
"1398","grid1398",16.47
"1399","grid1399",15.716
"1400","grid1400",16.229
"1401","grid1401",16.452
"1402","grid1402",16.89
"1403","grid1403",16.84
"1404","grid1404",13.963
"1405","grid1405",16.194
"1406","grid1406",15.632
"1407","grid1407",15.998
"1408","grid1408",16.843
"1409","grid1409",16.809
"1410","grid1410",16.794
"1411","grid1411",16.516
"1412","grid1412",16.45
"1413","grid1413",17.145
"1414","grid1414",17.376
"1415","grid1415",17.494
"1416","grid1416",17.207
"1417","grid1417",17.455
"1418","grid1418",17.561
"1419","grid1419",17.45
"1420","grid1420",15.876
"1421","grid1421",15.272
"1422","grid1422",16.975
"1423","grid1423",16.49
"1424","grid1424",16.614
"1425","grid1425",16.681
"1426","grid1426",17.321
"1427","grid1427",17.086
"1428","grid1428",16.546
"1429","grid1429",16.862
"1430","grid1430",17.63
"1431","grid1431",17.84
"1432","grid1432",17.997
"1433","grid1433",17.696
"1434","grid1434",17.089
"1435","grid1435",17.529
"1436","grid1436",17.435
"1437","grid1437",17.084
"1438","grid1438",16.706
"1439","grid1439",16.341
"1440","grid1440",16.185
"1441","grid1441",16.516
"1442","grid1442",15.995
"1443","grid1443",16.302
"1444","grid1444",16.726
"1445","grid1445",16.994
"1446","grid1446",14.173
"1447","grid1447",16.225
"1448","grid1448",14.531
"1449","grid1449",16.158
"1450","grid1450",16.28
"1451","grid1451",16.352
"1452","grid1452",16.305
"1453","grid1453",16.836
"1454","grid1454",16.734
"1455","grid1455",16.807
"1456","grid1456",16.889
"1457","grid1457",17.102
"1458","grid1458",17.183
"1459","grid1459",17.301
"1460","grid1460",17.294
"1461","grid1461",17.203
"1462","grid1462",15.935
"1463","grid1463",17.032
"1464","grid1464",16.608
"1465","grid1465",16.006
"1466","grid1466",16.585
"1467","grid1467",16.643
"1468","grid1468",16.836
"1469","grid1469",17.405
"1470","grid1470",17.453
"1471","grid1471",17.331
"1472","grid1472",17.248
"1473","grid1473",16.7
"1474","grid1474",17.841
"1475","grid1475",17.408
"1476","grid1476",17.479
"1477","grid1477",17.355
"1478","grid1478",17.221
"1479","grid1479",17.242
"1480","grid1480",17.081
"1481","grid1481",15.839
"1482","grid1482",16.095
"1483","grid1483",16.429
"1484","grid1484",15.89
"1485","grid1485",16.02
"1486","grid1486",16.076
"1487","grid1487",16.724
"1488","grid1488",16.886
"1489","grid1489",16.188
"1490","grid1490",16.3
"1491","grid1491",16.523
"1492","grid1492",16.7
"1493","grid1493",15.674
"1494","grid1494",16.681
"1495","grid1495",16.721
"1496","grid1496",16.796
"1497","grid1497",16.824
"1498","grid1498",16.948
"1499","grid1499",16.665
"1500","grid1500",16.751
"1501","grid1501",16.875
"1502","grid1502",17.112
"1503","grid1503",16.699
"1504","grid1504",17.117
"1505","grid1505",16.9
"1506","grid1506",15.905
"1507","grid1507",15.381
"1508","grid1508",15.917
"1509","grid1509",16.587
"1510","grid1510",16.753
"1511","grid1511",17.111
"1512","grid1512",17.234
"1513","grid1513",17.053
"1514","grid1514",17.159
"1515","grid1515",17.064
"1516","grid1516",17.232
"1517","grid1517",17.189
"1518","grid1518",17.127
"1519","grid1519",17.199
"1520","grid1520",17.318
"1521","grid1521",17.19
"1522","grid1522",17.216
"1523","grid1523",16.276
"1524","grid1524",15.896
"1525","grid1525",16.076
"1526","grid1526",16.407
"1527","grid1527",16.318
"1528","grid1528",16.054
"1529","grid1529",16.558
"1530","grid1530",16.614
"1531","grid1531",16.644
"1532","grid1532",16.407
"1533","grid1533",16.116
"1534","grid1534",16.324
"1535","grid1535",16.629
"1536","grid1536",15.371
"1537","grid1537",15.973
"1538","grid1538",16.8
"1539","grid1539",16.561
"1540","grid1540",16.617
"1541","grid1541",16.739
"1542","grid1542",16.828
"1543","grid1543",16.877
"1544","grid1544",17.078
"1545","grid1545",16.81
"1546","grid1546",16.756
"1547","grid1547",17.253
"1548","grid1548",14.976
"1549","grid1549",14.949
"1550","grid1550",15.208
"1551","grid1551",15.997
"1552","grid1552",16.559
"1553","grid1553",16.676
"1554","grid1554",16.945
"1555","grid1555",16.807
"1556","grid1556",16.3
"1557","grid1557",17.022
"1558","grid1558",17.053
"1559","grid1559",17.06
"1560","grid1560",16.542
"1561","grid1561",16.57
"1562","grid1562",16.492
"1563","grid1563",15.569
"1564","grid1564",15.95
"1565","grid1565",16.072
"1566","grid1566",15.611
"1567","grid1567",15.502
"1568","grid1568",16.274
"1569","grid1569",16.366
"1570","grid1570",16.44
"1571","grid1571",16.562
"1572","grid1572",16.538
"1573","grid1573",16.561
"1574","grid1574",14.339
"1575","grid1575",14.516
"1576","grid1576",14.191
"1577","grid1577",15.187
"1578","grid1578",16.55
"1579","grid1579",16.496
"1580","grid1580",15.983
"1581","grid1581",15.948
"1582","grid1582",16.651
"1583","grid1583",16.762
"1584","grid1584",16.819
"1585","grid1585",16.071
"1586","grid1586",16.911
"1587","grid1587",16.659
"1588","grid1588",17.388
"1589","grid1589",16.139
"1590","grid1590",15.16
"1591","grid1591",14.946
"1592","grid1592",15.49
"1593","grid1593",15.693
"1594","grid1594",16.029
"1595","grid1595",14.763
"1596","grid1596",16.574
"1597","grid1597",16.845
"1598","grid1598",15.701
"1599","grid1599",16.444
"1600","grid1600",16.971
"1601","grid1601",14.392
"1602","grid1602",16.591
"1603","grid1603",16.599
"1604","grid1604",16.421
"1605","grid1605",16.356
"1606","grid1606",16.147
"1607","grid1607",15.959
"1608","grid1608",15.761
"1609","grid1609",16.012
"1610","grid1610",16.33
"1611","grid1611",16.433
"1612","grid1612",16.032
"1613","grid1613",16.45
"1614","grid1614",16.439
"1615","grid1615",16.454
"1616","grid1616",16.444
"1617","grid1617",15.003
"1618","grid1618",15.086
"1619","grid1619",15.226
"1620","grid1620",15.709
"1621","grid1621",16.547
"1622","grid1622",16.497
"1623","grid1623",16.458
"1624","grid1624",15.75
"1625","grid1625",16.741
"1626","grid1626",16.782
"1627","grid1627",16.831
"1628","grid1628",17.17
"1629","grid1629",17.282
"1630","grid1630",17.222
"1631","grid1631",15.745
"1632","grid1632",16.162
"1633","grid1633",16.172
"1634","grid1634",16.559
"1635","grid1635",16.58
"1636","grid1636",16.651
"1637","grid1637",16.539
"1638","grid1638",16.676
"1639","grid1639",15.916
"1640","grid1640",15.636
"1641","grid1641",16.529
"1642","grid1642",16.061
"1643","grid1643",16.243
"1644","grid1644",15.834
"1645","grid1645",16.145
"1646","grid1646",16.61
"1647","grid1647",16.302
"1648","grid1648",16.817
"1649","grid1649",16.494
"1650","grid1650",16.312
"1651","grid1651",16.205
"1652","grid1652",16.339
"1653","grid1653",16.071
"1654","grid1654",16.026
"1655","grid1655",15.68
"1656","grid1656",15.806
"1657","grid1657",15.858
"1658","grid1658",15.913
"1659","grid1659",15.846
"1660","grid1660",15.959
"1661","grid1661",15.258
"1662","grid1662",15.407
"1663","grid1663",16.72
"1664","grid1664",16.754
"1665","grid1665",16.72
"1666","grid1666",16.586
"1667","grid1667",16.768
"1668","grid1668",17.065
"1669","grid1669",17.109
"1670","grid1670",17.008
"1671","grid1671",17.055
"1672","grid1672",16.906
"1673","grid1673",16.177
"1674","grid1674",16.897
"1675","grid1675",16.859
"1676","grid1676",16.443
"1677","grid1677",16.708
"1678","grid1678",16.895
"1679","grid1679",16.942
"1680","grid1680",16.68
"1681","grid1681",16.807
"1682","grid1682",16.789
"1683","grid1683",16.85
"1684","grid1684",16.84
"1685","grid1685",16.985
"1686","grid1686",16.903
"1687","grid1687",17.022
"1688","grid1688",16.827
"1689","grid1689",16.89
"1690","grid1690",16.784
"1691","grid1691",16.647
"1692","grid1692",16.373
"1693","grid1693",16.213
"1694","grid1694",14.709
"1695","grid1695",15.931
"1696","grid1696",15.62
"1697","grid1697",15.376
"1698","grid1698",15.722
"1699","grid1699",15.787
"1700","grid1700",15.847
"1701","grid1701",15.911
"1702","grid1702",16.029
"1703","grid1703",16.072
"1704","grid1704",15.436
"1705","grid1705",15.466
"1706","grid1706",16.834
"1707","grid1707",16.771
"1708","grid1708",16.627
"1709","grid1709",16.718
"1710","grid1710",16.965
"1711","grid1711",16.73
"1712","grid1712",16.614
"1713","grid1713",17.042
"1714","grid1714",16.991
"1715","grid1715",16.757
"1716","grid1716",16.794
"1717","grid1717",16.761
"1718","grid1718",16.901
"1719","grid1719",16.952
"1720","grid1720",17.001
"1721","grid1721",16.769
"1722","grid1722",16.916
"1723","grid1723",16.917
"1724","grid1724",16.939
"1725","grid1725",16.985
"1726","grid1726",16.906
"1727","grid1727",16.046
"1728","grid1728",16.216
"1729","grid1729",16.921
"1730","grid1730",14.827
"1731","grid1731",16.946
"1732","grid1732",14.919
"1733","grid1733",16.02
"1734","grid1734",16.607
"1735","grid1735",16.615
"1736","grid1736",16.01
"1737","grid1737",15.839
"1738","grid1738",15.738
"1739","grid1739",15.089
"1740","grid1740",15.549
"1741","grid1741",15.687
"1742","grid1742",15.798
"1743","grid1743",15.981
"1744","grid1744",16.033
"1745","grid1745",16.131
"1746","grid1746",15.093
"1747","grid1747",15.826
"1748","grid1748",16.234
"1749","grid1749",15.705
"1750","grid1750",16.635
"1751","grid1751",15.951
"1752","grid1752",16.777
"1753","grid1753",16.711
"1754","grid1754",16.727
"1755","grid1755",16.908
"1756","grid1756",16.917
"1757","grid1757",16.366
"1758","grid1758",16.191
"1759","grid1759",16.141
"1760","grid1760",16.06
"1761","grid1761",16.91
"1762","grid1762",16.983
"1763","grid1763",15.936
"1764","grid1764",15.593
"1765","grid1765",16.509
"1766","grid1766",17.01
"1767","grid1767",16.157
"1768","grid1768",15.354
"1769","grid1769",15.925
"1770","grid1770",15.939
"1771","grid1771",16.967
"1772","grid1772",14.832
"1773","grid1773",16.851
"1774","grid1774",17.291
"1775","grid1775",17.135
"1776","grid1776",16.623
"1777","grid1777",16.728
"1778","grid1778",16.113
"1779","grid1779",16.015
"1780","grid1780",15.966
"1781","grid1781",11.244
"1782","grid1782",15.549
"1783","grid1783",15.485
"1784","grid1784",15.342
"1785","grid1785",15.492
"1786","grid1786",16.095
"1787","grid1787",16.23
"1788","grid1788",15.904
"1789","grid1789",16.04
"1790","grid1790",16.197
"1791","grid1791",16.014
"1792","grid1792",16.381
"1793","grid1793",14.649
"1794","grid1794",16.134
"1795","grid1795",16.646
"1796","grid1796",16.651
"1797","grid1797",16.907
"1798","grid1798",16.489
"1799","grid1799",14.49
"1800","grid1800",14.38
"1801","grid1801",16.022
"1802","grid1802",16.868
"1803","grid1803",16.942
"1804","grid1804",16.988
"1805","grid1805",15.142
"1806","grid1806",16.497
